idx,src,dst,time,dst_idx,ext_roll
231,20,117,5,119,0
232,60,158,5,115,0
233,21,118,5,125,0
234,61,159,5,128,0
235,22,119,5,131,0
236,23,120,5,124,0
237,24,121,5,140,0
238,25,122,5,138,0
239,50,150,5,141,0
240,26,123,5,136,0
241,51,151,5,154,0
242,28,125,5,170,0
243,29,126,5,171,0
244,31,128,5,178,0
245,32,129,5,191,0
246,33,130,5,194,0
247,34,131,5,198,0
248,35,133,5,209,0
249,37,135,5,27,0
250,0,97,6,5,0
251,2,99,6,15,0
252,47,146,6,21,0
253,4,101,6,30,0
254,54,154,6,29,0
255,5,102,6,25,0
256,6,103,6,38,0
257,9,106,6,43,0
258,10,107,6,46,0
259,11,108,6,48,0
260,48,148,6,59,0
261,62,160,6,57,0
262,40,138,6,65,0
263,14,111,6,71,0
264,15,112,6,70,0
265,16,113,6,83,0
266,17,114,6,89,0
267,18,115,6,88,0
268,19,116,6,99,0
269,49,149,6,102,0
270,42,140,6,106,0
271,20,117,6,119,0
272,21,118,6,125,0
273,22,119,6,131,0
274,23,120,6,124,0
275,25,122,6,138,0
276,51,151,6,154,0
277,28,125,6,170,0
278,29,126,6,171,0
279,30,127,6,182,0
280,32,129,6,191,0
281,33,130,6,194,0
282,34,131,6,198,0
283,35,133,6,209,0
284,46,144,6,206,0
285,36,134,6,212,0
286,37,135,6,27,0
287,37,145,6,32,0
288,0,97,7,5,0
289,38,136,7,8,0
290,2,99,7,15,0
291,3,100,7,24,0
292,4,101,7,30,0
293,54,154,7,29,0
294,5,102,7,25,0
295,6,103,7,38,0
296,7,104,7,36,0
297,8,105,7,39,0
298,9,106,7,43,0
299,10,107,7,46,0
300,11,108,7,48,0
301,40,138,7,65,0
302,12,109,7,68,0
303,14,111,7,71,0
304,15,112,7,70,0
305,16,113,7,83,0
306,17,114,7,89,0
307,55,155,7,90,0
308,18,115,7,88,0
309,19,116,7,99,0
310,42,140,7,106,0
311,20,117,7,119,0
312,61,159,7,128,0
313,22,119,7,131,0
314,43,141,7,129,0
315,24,121,7,140,0
316,63,122,7,138,0
317,25,122,7,138,0
318,50,150,7,141,0
319,26,123,7,136,0
320,51,151,7,154,0
321,28,125,7,170,0
322,29,126,7,171,0
323,30,127,7,182,0
324,32,129,7,191,0
325,33,130,7,194,0
326,52,152,7,192,0
327,34,131,7,198,0
328,35,133,7,209,0
329,36,134,7,212,0
330,37,135,7,27,0
331,37,145,7,32,0
332,0,97,8,5,0
333,38,136,8,8,0
334,4,101,8,30,0
335,54,154,8,29,0
336,6,103,8,38,0
337,9,106,8,43,0
338,10,107,8,46,0
339,11,108,8,48,0
340,48,148,8,59,0
341,40,138,8,65,0
342,12,109,8,68,0
343,13,110,8,69,0
344,14,111,8,71,0
345,15,112,8,70,0
346,16,113,8,83,0
347,17,114,8,89,0
348,64,161,8,96,0
349,18,115,8,88,0
350,41,139,8,101,0
351,19,116,8,99,0
352,49,149,8,102,0
353,42,140,8,106,0
354,20,117,8,119,0
355,21,118,8,125,0
356,22,119,8,131,0
357,23,120,8,124,0
358,24,121,8,140,0
359,25,122,8,138,0
360,50,150,8,141,0
361,26,123,8,136,0
362,51,151,8,154,0
363,28,125,8,170,0
364,29,126,8,171,0
365,45,143,8,180,0
366,31,128,8,178,0
367,32,129,8,191,0
368,33,130,8,194,0
369,34,131,8,198,0
